,situation,risk,latitude,longitude,victims,deadly_victims,length,num_points,in_place,Rain,sliding
180,1,0,-8.0811879,-34.911632,0,0,0,0,0,0.0,1
181,1,0,-8.081291799,-34.9,0,0,0,0,0,0.0,1
182,1,0,-8.077032598999999,-34.9,0,0,0,0,0,0.0,1
183,1,0,-8.082224099,-34.9,0,0,0,0,0,0.0,1
184,1,0,-8.076459998999999,-34.9,0,0,0,0,0,104.3,1
185,1,0,-8.077032598999999,-34.9,0,0,0,0,0,0.0,1
186,1,0,-8.0761769,-34.91376279999999,0,0,0,0,0,0.0,1
187,1,0,-8.079165998999999,-34.9,0,0,0,0,0,0.0,1
188,1,0,-8.0713995,-34.908393100000005,0,0,0,0,0,0.0,1
189,1,0,-8.082224099,-34.9,0,0,0,0,0,30.7,1
190,1,0,-8.070392099,-34.9,0,0,0,0,0,3.7,1
191,0,0,-8.077032598999999,-34.9,0,0,0,0,0,25.0,0
192,0,0,-8.077032598999999,-34.9,0,0,0,0,0,12.7,0
193,1,0,-8.0772011,-34.895483,0,0,0,0,0,0.0,1
194,1,0,-8.0698963,-34.9128945,0,0,0,0,0,2.1,1
195,1,0,-8.0698963,-34.9128945,0,0,0,0,0,2.1,1
196,0,0,-8.0849993,-34.9117284,0,0,0,0,0,0.7,0
197,1,0,-8.0802111,-34.9107973,0,0,0,0,0,0.0,1
198,1,0,-8.077032598999999,-34.9,0,0,0,0,0,0.0,1
199,1,0,-8.070352799999998,-34.9130925,0,0,0,0,0,0.0,1
200,1,0,-8.077032598999999,-34.9,0,0,0,0,0,0.0,1
201,1,0,-8.070084899,-34.9,0,0,0,0,0,0.0,1
202,1,0,-8.081724599,-34.9,0,0,0,0,0,0.0,1
203,1,0,-8.071979899,-34.9,0,0,0,0,0,0.0,1
204,1,0,-8.0814571,-34.911615999999995,0,0,0,0,0,0.5,1
205,1,0,-8.081359598999999,-34.9,0,0,0,0,0,7.0,1
206,1,0,-8.0811879,-34.911632,0,0,0,0,0,7.0,1
207,1,0,-8.0849993,-34.9117284,0,0,0,0,0,0.8,1
208,1,0,-8.077032598999999,-34.9,0,0,0,0,0,0.0,1
209,1,0,-8.0811879,-34.911632,0,0,0,0,0,0.0,1
210,1,0,-8.0709047,-34.9095264,0,0,0,0,0,40.5,1
211,1,0,-8.077190099,-34.9,0,0,0,0,0,0.3,1
212,0,0,0.0,0.0,0,0,0,0,0,0.0,0
213,0,0,0.0,0.0,0,0,0,0,0,0.0,0
214,0,0,0.0,0.0,0,0,0,0,0,0.0,0
215,0,0,0.0,0.0,0,0,0,0,0,0.2,0
216,0,0,0.0,0.0,0,0,0,0,0,0.0,0
217,0,0,0.0,0.0,0,0,0,0,0,0.0,0
218,0,0,0.0,0.0,0,0,0,0,0,0.0,0
219,0,0,0.0,0.0,0,0,0,0,0,0.0,0
220,0,0,0.0,0.0,0,0,0,0,0,1.07,0
221,0,0,0.0,0.0,0,0,0,0,0,11.77,0
222,0,0,0.0,0.0,0,0,0,0,0,0.0,0
223,0,0,0.0,0.0,0,0,0,0,0,1.9,0
224,0,0,0.0,0.0,0,0,0,0,0,0.0,0
225,0,0,0.0,0.0,0,0,0,0,0,0.0,0
226,0,0,0.0,0.0,0,0,0,0,0,0.0,0
227,0,0,0.0,0.0,0,0,0,0,0,6.37,1
228,0,0,0.0,0.0,0,0,0,0,0,6.37,0
229,0,0,0.0,0.0,0,0,0,0,0,6.37,0
230,0,0,0.0,0.0,0,0,0,0,0,0.0,1
231,0,0,0.0,0.0,0,0,0,0,0,0.0,0
232,0,0,0.0,0.0,0,0,0,0,0,0.0,0
233,0,0,0.0,0.0,0,0,0,0,0,0.0,0
234,0,0,0.0,0.0,0,0,0,0,0,1.03,0
235,0,0,0.0,0.0,0,0,0,0,0,0.53,0
236,0,0,0.0,0.0,0,0,0,0,0,0.0,0
237,0,0,0.0,0.0,0,0,0,0,0,5.53,0
238,0,0,0.0,0.0,0,0,0,0,0,0.0,0
239,0,0,0.0,0.0,0,0,0,0,0,0.0,0
240,0,0,0.0,0.0,0,0,0,0,0,5.03,0
241,0,0,0.0,0.0,0,0,0,0,0,0.0,0
242,0,0,0.0,0.0,0,0,0,0,0,0.0,0
243,0,0,0.0,0.0,0,0,0,0,0,0.0,0
244,0,0,0.0,0.0,0,0,0,0,0,0.0,0
