Código,Posto,Mês/Ano,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Acumulado
196,Recife (Codecipe / Santo Amaro),abr/2017,"0,0","0,0","0,0","0,0","19,0","0,0","0,0","0,0","0,0","22,0","23,3","37,3",-,"12,0","4,3","0,0","45,0","0,0","0,2","1,7","0,0","0,0","16,0","0,0","0,0","0,0","0,0","0,0","0,9","35,0",-,"5055,8"
344,Recife (Lamepe/Itep),abr/2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1611,6"
378,Recife (Santo Amaro),abr/2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1998,8"
30,Recife (Várzea),abr/2017,"0,0","24,1","39,2","0,4","5,0","6,9","11,2","0,0","0,2","4,8","5,2","11,4","61,6","11,4","12,2","0,0","41,4","0,0","1,2","0,0","0,0","0,0","28,8","1,2","0,0","0,0","0,0","2,6","0,2","22,7",-,"15807,2"
480,Recife - PCD,abr/2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1418,8"
265,Recife (Alto da Brasileira),mai/2017,"6,1","0,0","33,4","1,8","0,0","1,5","25,9","0,0","24,8","0,0","0,7","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,3","12,1","5,5","6,5","0,0","2,6","20,5","0,0","0,0","23,5","70,5","0,0","12,7","13419,7"
196,Recife (Codecipe / Santo Amaro),mai/2017,-,"2,1","31,2","0,2","0,0","3,3","22,4","5,4","60,9","2,1","0,1","5,0","0,0","0,0","0,0","0,0","0,0","0,0","5,0","5,2","5,0","7,0","0,0","16,4","32,9","7,0",-,-,-,"1,0","70,0","5055,8"
344,Recife (Lamepe/Itep),mai/2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1611,6"
378,Recife (Santo Amaro),mai/2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1998,8"
30,Recife (Várzea),mai/2017,"4,4","0,6","60,0","1,4","0,2","8,4","19,7","8,1","17,1","5,8","2,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,6","16,0","5,4","15,6","0,0","4,6","29,1","1,0","0,0","49,6","72,9","2,2","73,0","15807,2"
480,Recife - PCD,mai/2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1418,8"
265,Recife (Alto da Brasileira),jun/2017,"2,3","0,7","0,0","23,1","11,8","20,9","0,0","4,2","9,2","9,7","6,1","0,0","6,9","6,8","6,3","36,2","0,0","8,7","19,7","7,4","3,4","3,5","2,9","35,5","2,9","5,1","0,0","20,3","40,3","45,7",-,"13419,7"
196,Recife (Codecipe / Santo Amaro),jun/2017,"22,6","4,2","1,2","7,3","12,0","28,0","0,0","4,2","11,0","23,8","21,6","0,0","6,8","7,0","9,2","46,0","2,6","12,0","6,0","2,4","2,2",-,"4,4","41,0","12,0","2,0","0,0","25,0","78,5","103,0",-,"5055,8"
344,Recife (Lamepe/Itep),jun/2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1611,6"
378,Recife (Santo Amaro),jun/2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1998,8"
30,Recife (Várzea),jun/2017,"33,9","7,0","2,6","8,3","3,6","49,4","1,0","6,7","6,3","28,4","6,1","1,7","19,2","7,7","15,4","47,3","0,6","11,0","10,2","3,5","14,4","5,4","5,6","48,2","31,6","6,6","3,0","21,2","40,4","40,7",-,"15807,2"
